RXCUI,ATC4,ATC2
105467,C01EA,C01
197519,D10AF,D10
309332,D10AF,D10
208397,G02AD,G02
685578,D10AF,D10
685574,D10AF,D10
685576,D10AF,D10
882536,D10AF,D10
881411,A10BB,A10
103956,C01EA,C01
979122,C01BD,C01
855180,G04BD,G04
855195,G04BD,G04
1000158,G03AC,G03
1662286,J01XX,J01
213485,A10BF,A10
213486,A10BF,A10
213487,A10BF,A10
1732183,L01DB,L01
581614,J01XX,J01
262091,J01XX,J01
404457,H01AX,H01
404458,H01AX,H01
404459,H01AX,H01
763472,C01EA,C01
763474,C01EA,C01
855184,G04BD,G04
855191,G04BD,G04
855189,G04BD,G04
1549456,H01AX,H01
1549454,H01AX,H01
1797888,N07BA,N07
1000154,G03AC,G03
261317,L02BG,L02
882533,D10AF,D10
226922,C01EA,C01
208437,A07EC,A07
724154,A07EC,A07
205562,L01XX,L01
208104,B02AA,B02
848330,G03CA,G03
1791500,L01DB,L01
1791499,L01DB,L01
762833,H01AC,H01
762836,H01AC,H01
762839,H01AC,H01
762843,H01AC,H01
762875,H01AC,H01
762849,H01AC,H01
762852,H01AC,H01
762859,H01AC,H01
762868,H01AC,H01
762897,H01AC,H01
103899,J04AB,J04
542527,S01EE,S01
1736592,V03AF,V03
860227,G03AC,G03
207373,L01XX,L01
226719,L01CB,L01
727634,A12CA,A12
747260,A12CA,A12
212438,D05AX,D05
260285,D06AX,D06
205826,D06AX,D06
702008,A06AA,A06
701984,A06AA,A06
1011987,D10AF,D10
856935,C05AA,C05
860109,M01AB,M01
1009341,S01EE,S01
1100650,A06AG,A06
854181,A01AC,A01
858366,M01AB,M01
992399,J01MA,J01
1041497,S01EE,S01
701858,D10AX,D10
1000089,S01GX,S01
1241471,A06AG,A06
284430,D11AX,D11
1421168,D01AE,D01
200009,D10AE,D10
1741907,D10AX,D10
1869821,R01AA,R01
402092,L04AD,L04
1726416,A06AG,A06
864820,G04BD,G04
1368960,A07EC,A07
1605257,G03AC,G03
1809905,B03AA,B03
848333,G03CA,G03
848343,G03CA,G03
797697,D07AC,D07
1798287,C09DX,C09
486155,G03CA,G03
310173,G03CA,G03
1149645,G03CA,G03
310180,G03CA,G03
849383,A07EC,A07
905059,L02AE,L02
905064,L02AE,L02
905057,L02AE,L02
1244908,B03AA,B03
1190955,G03BA,G03
1190957,G03BA,G03
857004,N02BE,N02
892496,N02AA,N02
892598,N02AA,N02
892658,N02AA,N02
1303738,N02AA,N02
894803,N02AA,N02
894805,N02AA,N02
894816,N02AA,N02
892556,N02AA,N02
892645,N02AA,N02
857007,N02BE,N02
857001,N02BE,N02
1099897,B03AA,B03
1595462,A09AA,A09
1595473,A09AA,A09
1595478,A09AA,A09
1595292,A09AA,A09
1995479,A09AA,A09
1595457,A09AA,A09
1594673,A09AA,A09
351750,D06BB,D06
809481,G04CA,G04
858749,A05AA,A05
211310,A01AD,A01
826614,G04CA,G04
153579,G03DA,G03
153580,G03DA,G03
404448,G04BD,G04
208451,J01EA,J01
212437,D05AX,D05
1043753,D10AX,D10
897294,R01AC,R01
284496,D05AX,D05
284497,D05AX,D05
861210,D11AX,D11
860656,R06AX,R06
861637,C07AA,C07
351944,D05AX,D05
860105,M01AB,M01
861206,D11AX,D11
904170,P01BA,P01
854859,C01BD,C01
1790351,V03AF,V03
854878,N05CF,N05
854875,N05CF,N05
854896,N05CF,N05
854882,N05CF,N05
1803903,A10BJ,A10
1803896,A10BJ,A10
1859000,A10BJ,A10
855174,R06AE,R06
855170,R06AE,R06
1376084,L01CD,L01
1723194,L01XX,L01
208083,L03AA,L03
213395,L03AA,L03
153665,C09CA,C09
153666,C09CA,C09
153667,C09CA,C09
823934,C03AA,C03
823938,C03AA,C03
544915,L01BB,L01
828703,L03AX,L03
1604544,A10AE,A10
2002420,A10AE,A10
1659183,C10AX,C10
1659161,C10AX,C10
1659179,C10AX,C10
1659167,C10AX,C10
1923338,L04AC,L04
1923347,L04AC,L04
1876406,D11AH,D11
2099302,D11AH,D11
2003757,L04AC,L04
2003767,L04AC,L04
1992169,A10AB,A10
1992171,A10AB,A10
1190641,A03BA,A03
1797880,H01CA,H01
200820,C03DA,C03
208112,C03AA,C03
208116,C03AA,C03
200825,C03DA,C03
200817,C03DA,C03
207243,M01AE,M01
1359107,D11AX,D11
1359109,D11AX,D11
209177,A02BB,A02
104098,A02BB,A02
686381,L01XX,L01
213468,L01XX,L01
213469,L01XX,L01
352314,L01XX,L01
402106,C03DA,C03
402105,C03DA,C03
207290,A01AB,A01
207287,A01AB,A01
897667,C08DA,C08
897680,C08DA,C08
897661,C08DA,C08
897676,C08DA,C08
687211,A01AB,A01
902648,C01BA,C01
902652,C01BA,C01
209066,C01BA,C01
209692,C01BA,C01
1719231,B02BD,B02
1743374,B02BD,B02
108758,D06AX,D06
213182,D06AX,D06
1090463,R06AB,R06
1053262,R06AB,R06
1111440,R06AB,R06
1294194,D04AA,D04
1050385,N02BE,N02
1659520,R05DA,R05
1547605,R06AB,R06
1243493,R06AB,R06
1370213,R05DA,R05
1545786,R05DA,R05
1370205,R05DA,R05
1115329,R05DA,R05
1424446,R05DA,R05
1086997,N02BE,N02
827679,R05CA,R05
1046630,R05DA,R05
1190208,R05DA,R05
1044949,R05DA,R05
1094549,N02BE,N02
1919082,N02BE,N02
1116572,N02BE,N02
1375932,N02BE,N02
1020138,R05DA,R05
1790650,R05DA,R05
1858387,R05DA,R05
2003391,R05DA,R05
1113046,A09AA,A09
863836,A09AA,A09
863841,A09AA,A09
863829,A09AA,A09
1373327,A09AA,A09
206798,A07EC,A07
1797876,R01AC,R01
1797871,R01AC,R01
1797884,R01AC,R01
1797849,R01AC,R01
209026,N03AX,N03
209027,N03AX,N03
209028,N03AX,N03
831269,A07EB,A07
104885,A04AD,A04
213695,M03BA,M03
730918,M03BA,M03
208080,C03CA,C03
208076,C03CA,C03
207370,M01CC,M01
706467,G03CA,G03
836645,N05CF,N05
836649,N05CF,N05
883795,A11GA,A11
1048340,A03BA,A03
208435,D06BA,D06
967014,B05CB,B05
828364,C05AD,C05
828365,C05AD,C05
904783,C05AD,C05
1545174,A01AC,A01
905164,A07EC,A07
1245277,R01AD,R01
859126,C01EA,C01
859130,C01EA,C01
859132,C01EA,C01
859128,C01EA,C01
1047918,A03BA,A03
153843,A10BB,A10
153591,A10BB,A10
153845,A10BB,A10
831719,A01AA,A01
831836,A01AA,A01
857214,A01AA,A01
1251617,B05CA,B05
831841,A01AA,A01
211975,G03CA,G03
688242,G03CA,G03
205739,S01EB,S01
208513,G03CA,G03
404550,G03CA,G03
150840,G03CA,G03
208949,G03CA,G03
202301,G03CA,G03
1000491,G03CA,G03
1000497,G03CA,G03
1000499,G03CA,G03
1000500,G03CA,G03
1000487,G03CA,G03
